tileshape0,tileshape1,tileshape2,clustershape0,clustershape1,runtime(ms),GFLOPS,峰值性能占比,峰值性能989.4TFLOPS
256,128,128,1,16,1.93447,444046,0.448803315,
64,64,64,4,2,1.94922,440686,0.445407318,
256,128,16,8,1,1.95315,439800,0.444511825,
256,128,128,4,1,1.9586,438576,0.443274712,
128,256,16,1,8,1.96992,436054,0.440725692,
256,64,64,8,1,1.97569,434781,0.439439054,
256,64,16,1,8,1.97713,434465,0.439119668,
64,64,64,2,2,1.98908,431855,0.436481706,
256,128,128,8,2,1.99007,431641,0.436265413,
256,64,64,4,1,1.99159,431311,0.435931878,
128,64,32,2,8,1.99738,430059,0.434666465,
128,64,64,8,2,2.00584,428245,0.43283303,
256,64,64,2,1,2.01303,426717,0.43128866,
256,128,128,8,1,2.01357,426602,0.431172428,
256,64,16,1,16,2.02861,423440,0.427976551,
128,64,32,4,4,2.0429,420477,0.424981807,
128,128,16,1,8,2.057,417595,0.422068931,
64,256,128,2,1,2.06478,416021,0.420478068,
64,128,32,1,8,2.0781,413355,0.417783505,
128,256,16,1,16,2.07863,413250,0.41767738,
128,64,32,1,2,2.07922,413132,0.417558116,
64,64,64,1,8,2.08037,412904,0.417327673,
128,64,32,2,4,2.08944,411112,0.415516475,
64,256,32,1,2,2.10226,408605,0.412982616,
128,64,64,8,1,2.10671,407742,0.41211037,
256,128,16,16,1,2.10716,407655,0.412022438,
64,128,64,1,16,2.10865,407366,0.411730342,
64,128,64,16,1,2.11344,406443,0.410797453,
64,256,32,1,4,2.11865,405444,0.40978775,
256,64,32,8,1,2.12106,404984,0.409322822,
256,128,128,16,1,2.12775,403711,0.408036184,
256,128,128,1,1,2.12818,403629,0.407953305,
128,64,32,2,2,2.13689,401984,0.406290681,
128,64,64,4,1,2.13842,401695,0.405998585,
64,64,64,1,16,2.13899,401588,0.405890439,
64,256,32,1,8,2.14055,401296,0.40559531,
64,256,64,1,16,2.14093,401224,0.405522539,
128,64,32,4,2,2.14568,400336,0.404625025,
256,64,16,2,8,2.15434,398726,0.402997776,
128,256,32,8,2,2.15549,398514,0.402783505,
64,128,32,1,16,2.16669,396454,0.400701435,
128,64,64,16,1,2.17804,394388,0.398613301,
128,256,32,1,4,2.18572,393003,0.397213463,
256,128,16,4,1,2.19285,391725,0.395921771,
128,256,64,4,1,2.20645,389310,0.393480898,
64,256,128,4,4,2.23128,384978,0.389102486,
64,256,128,8,1,2.23256,384757,0.388879119,
256,64,64,1,1,2.23384,384537,0.388656762,
64,128,32,1,4,2.23925,383607,0.387716798,
128,256,32,1,8,2.24745,382208,0.38630281,
256,64,16,4,4,2.24836,382053,0.386146149,
128,256,32,1,2,2.25336,381205,0.385289064,
256,64,32,4,1,2.25936,380193,0.384266222,
64,64,128,1,4,2.26221,379714,0.38378209,
256,64,32,16,1,2.26546,379169,0.383231251,
128,256,32,16,1,2.26904,378571,0.382626845,
128,256,32,1,16,2.27477,377619,0.381664645,
64,256,16,4,1,2.28506,375917,0.379944411,
64,256,128,8,2,2.29588,374146,0.378154437,
64,256,128,1,1,2.301,373313,0.377312513,
128,256,16,16,1,2.31449,371137,0.3751132,
256,64,32,2,1,2.32795,368992,0.372945219,
64,256,16,2,8,2.32805,368976,0.372929048,
64,256,128,2,4,2.32882,368853,0.37280473,
256,128,16,2,1,2.3303,368619,0.372568223,
64,256,128,2,2,2.35799,364291,0.368193855,
128,128,32,1,4,2.36245,363602,0.367497473,
64,128,32,1,2,2.3654,363149,0.36703962,
64,256,32,1,1,2.37178,362172,0.366052153,
128,256,64,2,8,2.37468,361731,0.365606428,
128,256,32,8,1,2.37966,360974,0.364841318,
256,64,16,2,4,2.38912,359544,0.363395998,
256,64,64,16,1,2.39462,358717,0.362560137,
128,128,16,1,4,2.39722,358329,0.362167981,
128,64,32,4,1,2.39922,358030,0.361865777,
128,256,64,1,1,2.41639,355487,0.359295533,
128,64,64,2,1,2.43332,353013,0.356795027,
128,128,32,2,4,2.45068,350513,0.354268243,
64,64,64,4,1,2.46527,348437,0.352170002,
64,256,128,16,1,2.4681,348039,0.351767738,
256,64,16,8,2,2.48476,345705,0.349408733,
128,256,16,8,2,2.48809,345242,0.348940772,
128,128,32,4,4,2.49057,344898,0.348593087,
128,128,32,4,2,2.49092,344849,0.348543562,
128,128,32,1,8,2.49171,344740,0.348433394,
64,256,128,2,8,2.49559,344205,0.347892662,
128,128,32,2,2,2.49876,343767,0.34744997,
256,64,128,1,2,2.50108,343449,0.347128563,
128,128,32,2,8,2.53016,339501,0.343138266,
64,256,32,2,4,2.53662,338637,0.342265009,
64,256,32,1,16,2.53879,338348,0.341972913,
256,64,32,1,1,2.54494,337530,0.341146149,
