headdim,batch_size,seqlen,dim,Total Time (seconds),arithmetic intensity,l2_hit_rate,Performance Bound,Base Ratio,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum
32,8,512,512,0.026745,13.222912,50.75,memory bound,1,31827.71,1.19,262144,10150000
32,8,512,1024,0.050819,12.758016,48.38,memory bound,1,58442.14,1.15,524288,21040000
32,8,512,2048,0.084187,12.926976,48.46,memory bound,1,103550.43,1.23,1048576,41530000
32,8,512,4096,0.149259,12.838912,49.07,memory bound,1,185081.57,1.24,2097152,83630000
32,8,512,8192,0.279302,12.79744,49.61,memory bound,1,354714,1.27,4194304,167800000
32,8,512,16384,0.533934,12.816384,49.85,memory bound,1,688775.71,1.29,8388608,335110000
32,8,1024,512,0.04564,13.184,50.62,memory bound,1,55681,1.22,524288,20360000
32,8,1024,1024,0.08794,12.493824,47.08,memory bound,1,107286.86,1.22,1048576,42970000
32,8,1024,2048,0.156911,12.759552,47.69,memory bound,1,196138.86,1.25,2097152,84150000
32,8,1024,4096,0.28344,12.563456,47.75,memory bound,1,362803.86,1.28,4194304,170930000
32,8,1024,8192,0.548081,12.421632,47.86,memory bound,1,707024.71,1.29,8388608,345760000
32,8,1024,16384,1.047172,12.60032,48.87,memory bound,1,1361324.86,1.3,16777216,681710000
32,8,2048,512,0.08151,12.79744,48.57,memory bound,1,101888.14,1.25,1048576,41950000
32,8,2048,1024,0.163933,12.362752,46.53,memory bound,1,206555.86,1.26,2097152,86850000
32,8,2048,2048,0.297746,12.5056,47.4,memory bound,1,387070.43,1.3,4194304,171720000
32,8,2048,4096,0.555115,12.50304,47.83,memory bound,1,716099.29,1.29,8388608,343510000
32,8,2048,8192,1.075912,12.346368,47.54,memory bound,1,1420204.57,1.32,16777216,695740000
32,8,2048,16384,2.119451,12.271104,47.78,memory bound,1,2755287,1.3,33554432,1400000000
32,8,4096,512,0.134745,6.584832,50.12,memory bound,1,169779.43,1.26,1048576,81530000
32,8,4096,1024,0.312168,12.164096,45.84,memory bound,1,405818.43,1.3,4194304,176540000
32,8,4096,2048,0.595596,12.219904,45.96,memory bound,1,774275.43,1.3,8388608,351460000
32,8,4096,4096,1.137768,12.059136,46.07,memory bound,1,1467721,1.29,16777216,712290000
32,8,4096,8192,2.204733,11.766784,45.05,memory bound,1,2910248.71,1.32,33554432,1460000000
32,8,4096,16384,4.623798,11.3024,42.99,memory bound,1,5964699.43,1.29,67108864,3040000000
32,8,8192,512,0.265417,6.376448,48.55,memory bound,1,342388.71,1.29,2097152,168390000
32,8,8192,1024,0.616935,12.11904,45.73,memory bound,1,802016,1.3,8388608,354390000
32,8,8192,2048,1.196482,11.974656,45.48,memory bound,1,1555427.86,1.3,16777216,717320000
32,8,8192,4096,2.314414,11.766784,44.66,memory bound,1,2985595,1.29,33554432,1460000000
32,8,8192,8192,4.791982,10.907648,41.06,memory bound,1,6229576.71,1.3,67108864,3150000000
32,8,8192,16384,11.196621,9.04192,29.12,memory bound,1,14779539.86,1.32,134217728,7600000000
32,8,16384,512,0.509154,6.397952,48.51,memory bound,1,661900.71,1.3,4194304,335650000
32,8,16384,1024,1.22529,11.894272,45.12,memory bound,1,1605130.29,1.31,16777216,722180000
32,8,16384,2048,2.395804,11.930112,45.25,memory bound,1,3114546.14,1.3,33554432,1440000000
32,8,16384,4096,4.95659,10.770944,40.31,memory bound,1,6493133.14,1.31,67108864,3190000000
32,8,16384,8192,11.463885,9.286144,30.79,memory bound,1,14444495.43,1.26,134217728,7400000000
32,8,16384,16384,26.976288,7.90784,18.88,memory bound,1,33720360.86,1.25,268435456,17380000000
32,16,512,512,0.050418,12.649984,48.22,memory bound,1,58989.57,1.17,524288,21220000
32,16,512,1024,0.08767,12.03456,45.82,memory bound,1,107834.14,1.23,1048576,44610000
32,16,512,2048,0.149987,12.251648,47.29,memory bound,1,190484.57,1.27,2097152,87640000
32,16,512,4096,0.280999,12.483072,48.54,memory bound,1,359679.57,1.28,4194304,172030000
32,16,512,8192,0.540576,12.6592,49.43,memory bound,1,697343.29,1.29,8388608,339270000
32,16,512,16384,1.041473,12.708352,49.74,memory bound,1,1353916,1.3,16777216,675920000
32,16,1024,512,0.087149,12.540416,47.08,memory bound,1,106322.14,1.22,1048576,42810000
32,16,1024,1024,0.165448,11.746304,44.47,memory bound,1,208465.29,1.26,2097152,91410000
32,16,1024,2048,0.295863,11.83488,45.22,memory bound,1,381663.86,1.29,4194304,181450000
32,16,1024,4096,0.568061,11.771392,45.5,memory bound,1,738479.71,1.3,8388608,364860000
32,16,1024,8192,1.1077,12.040192,46.88,memory bound,1,1428933,1.29,16777216,713420000
32,16,1024,16384,2.16438,12.271104,47.68,memory bound,1,2770406.57,1.28,33554432,1400000000
32,16,2048,512,0.162891,12.330496,46.59,memory bound,1,205243.29,1.26,2097152,87080000
32,16,2048,1024,0.319413,11.664896,44.21,memory bound,1,408848.71,1.28,4194304,184090000
32,16,2048,2048,0.578743,11.707392,44.68,memory bound,1,752366.14,1.3,8388608,366850000
32,16,2048,4096,1.152479,11.690496,44.96,memory bound,1,1475173.14,1.28,16777216,734760000
32,16,2048,8192,2.364794,10.872832,40.95,memory bound,1,3121529.29,1.32,33554432,1580000000
32,16,2048,16384,4.88871,10.53952,39.32,memory bound,1,6355323.43,1.3,67108864,3260000000
32,16,4096,512,0.313235,12.122112,45.52,memory bound,1,400941.57,1.28,4194304,177150000
32,16,4096,1024,0.627061,11.54816,43.51,memory bound,1,815180.29,1.3,8388608,371910000
32,16,4096,2048,1.1736,11.174912,42.08,memory bound,1,1560888.57,1.33,16777216,768650000
32,16,4096,4096,2.63495,9.873408,35.06,memory bound,1,3425435,1.3,33554432,1740000000
32,16,4096,8192,6.1112,8.525824,24.91,memory bound,1,7883448.71,1.29,67108864,4030000000
32,16,4096,16384,13.135282,8.309248,22.87,memory bound,1,16025044.71,1.22,134217728,8270000000
32,16,8192,512,0.610114,11.948032,44.94,memory bound,1,793149.14,1.3,8388608,359460000
32,16,8192,1024,1.306054,11.080704,41.57,memory bound,1,1671750,1.28,16777216,775200000
32,16,8192,2048,2.655015,9.988096,35.54,memory bound,1,3424970.43,1.29,33554432,1720000000
32,16,8192,4096,6.55332,8.009216,19.9,memory bound,1,8388250.43,1.28,67108864,4290000000
32,16,8192,8192,14.193979,7.180288,10.73,memory bound,1,18594113,1.31,134217728,9570000000
32,16,8192,16384,30.202257,6.76352,5.35,memory bound,1,39262935,1.3,268435456,20320000000
32,16,16384,512,1.227969,11.682816,44.1,memory bound,1,1596360.71,1.3,16777216,735250000
32,16,16384,1024,2.6594,10.670592,39.31,memory bound,1,3430627.14,1.29,33554432,1610000000
32,16,16384,2048,6.314522,8.08448,20.45,memory bound,1,8461459.86,1.34,67108864,4250000000
32,16,16384,4096,14.123679,7.310336,12.54,memory bound,1,18502020.29,1.31,134217728,9400000000
32,16,16384,8192,29.610687,6.851072,6.57,memory bound,1,38790000.14,1.31,268435456,20060000000
32,16,16384,16384,61.423105,6.591488,2.89,memory bound,1,80464268.71,1.31,536870912,41700000000
32,32,512,512,0.094041,11.082752,41.97,memory bound,1,114731.14,1.22,1048576,48440000
32,32,512,1024,0.169455,10.981888,41.72,memory bound,1,215208.14,1.27,2097152,97770000
32,32,512,2048,0.304272,11.159552,42.76,memory bound,1,395554.14,1.3,4194304,192430000
32,32,512,4096,0.60084,11.249664,43.21,memory bound,1,769075.43,1.28,8388608,381770000
32,32,512,8192,1.08694,12.218368,47.75,memory bound,1,1413023.14,1.3,16777216,703030000
32,32,512,16384,2.151102,12.184064,47.69,memory bound,1,2817944.43,1.31,33554432,1410000000
32,32,1024,512,0.173752,11.00032,41.31,memory bound,1,218928.57,1.26,2097152,97610000
32,32,1024,1024,0.320743,10.747392,40.29,memory bound,1,413759.29,1.29,4194304,199810000
32,32,1024,2048,0.615502,10.682368,39.93,memory bound,1,806308.71,1.31,8388608,402060000
32,32,1024,4096,1.234746,10.230272,37.52,memory bound,1,1654559.71,1.34,16777216,839630000
32,32,1024,8192,2.646383,9.93024,35.64,memory bound,1,3413835.29,1.29,33554432,1730000000
32,32,1024,16384,5.064432,10.412032,38.71,memory bound,1,6431828.71,1.27,67108864,3300000000
32,32,2048,512,0.335762,10.94144,40.93,memory bound,1,429776.57,1.28,4194304,196270000
32,32,2048,1024,0.64347,10.45504,38.49,memory bound,1,830077.43,1.29,8388608,410790000
32,32,2048,2048,1.317771,9.73824,34.02,memory bound,1,1739458.86,1.32,16777216,882080000
32,32,2048,4096,3.186509,8.065536,20.73,memory bound,1,4174327.71,1.31,33554432,2130000000
32,32,2048,8192,7.125293,7.158272,10.63,memory bound,1,9334134.29,1.31,67108864,4800000000
32,32,2048,16384,14.995241,6.783488,5.76,memory bound,1,19643766.14,1.31,134217728,10130000000
32,32,4096,512,0.669636,10.60608,39.17,memory bound,1,877223.29,1.31,8388608,404940000
32,32,4096,1024,1.375389,9.87904,34.82,memory bound,1,1746745.29,1.27,16777216,869510000
32,32,4096,2048,3.27494,7.953408,19.62,memory bound,1,4224673.43,1.29,33554432,2160000000
32,32,4096,4096,7.257603,7.026176,8.85,memory bound,1,9507460.86,1.31,67108864,4890000000
32,32,4096,8192,15.216699,6.723584,4.84,memory bound,1,19781708.86,1.3,134217728,10220000000
32,32,4096,16384,31.201954,6.5536,2.64,memory bound,1,40562541.14,1.3,268435456,20970000000
32,32,8192,512,1.393047,10.110464,36.26,memory bound,1,1824891.57,1.31,16777216,849600000
32,32,8192,1024,3.282622,7.880192,18.84,memory bound,1,4333061.57,1.32,33554432,2180000000
32,32,8192,2048,7.112087,7.158272,10.63,memory bound,1,9316835.14,1.31,67108864,4800000000
32,32,8192,4096,15.161263,6.756864,5.2,memory bound,1,19709642.14,1.3,134217728,10170000000
32,32,8192,8192,30.81957,6.578688,2.92,memory bound,1,40373637.14,1.31,268435456,20890000000
32,32,8192,16384,62.764099,6.497792,1.52,memory bound,1,81593329.43,1.3,536870912,42300000000
32,32,16384,512,3.614341,8.589824,25.37,memory bound,1,4192635.71,1.16,33554432,2000000000
32,32,16384,1024,6.821529,7.703552,16.63,memory bound,1,8867987.71,1.3,67108864,4460000000
32,32,16384,2048,15.084687,6.857728,6.66,memory bound,1,19610093.57,1.3,134217728,10020000000
32,32,16384,4096,30.757684,6.642688,3.59,memory bound,1,39984990.29,1.3,268435456,20690000000
32,32,16384,8192,62.390872,6.536704,2.08,memory bound,1,81108134,1.3,536870912,42050000000
