N,M,K,T,Time(ms)
1024,2048,1024,8192,1.21598
1024,2048,2048,128,0.191214
1024,2048,2048,1024,0.304699
1024,2048,2048,2048,0.43587
1024,2048,2048,4096,0.801674
1024,2048,2048,8192,1.34507
1024,2048,4096,128,0.359413
1024,2048,4096,1024,0.536861
1024,2048,4096,2048,0.761007
1024,2048,4096,4096,1.0675
1024,2048,4096,8192,1.60607
1024,2048,8192,128,1.10362
1024,2048,8192,1024,1.22375
1024,2048,8192,2048,1.35884
1024,2048,8192,4096,1.62136
1024,2048,8192,8192,2.16147
1024,4096,128,128,0.0356621
1024,4096,128,1024,0.16565
1024,4096,128,2048,0.306229
1024,4096,128,4096,0.606409
1024,4096,128,8192,1.17771
1024,4096,1024,128,0.126804
1024,4096,1024,1024,0.251017
1024,4096,1024,2048,0.409386
1024,4096,1024,4096,0.719692
1024,4096,1024,8192,1.2948
1024,4096,2048,128,0.229175
1024,4096,2048,1024,0.358763
1024,4096,2048,2048,0.560228
1024,4096,2048,4096,0.857143
1024,4096,2048,8192,1.43249
1024,4096,4096,128,0.557572
1024,4096,4096,1024,0.687667
1024,4096,4096,2048,0.841694
1024,4096,4096,4096,1.13137
1024,4096,4096,8192,1.70247
1024,4096,8192,128,1.12811
1024,4096,8192,1024,1.26189
1024,4096,8192,2048,1.41354
1024,4096,8192,4096,1.7026
1024,4096,8192,8192,2.28435
1024,8192,128,128,0.0625958
1024,8192,128,1024,0.300122
1024,8192,128,2048,0.578799
1024,8192,128,4096,1.16998
1024,8192,128,8192,2.29733
1024,8192,1024,128,0.223347
1024,8192,1024,1024,0.524307
1024,8192,1024,2048,0.804178
1024,8192,1024,4096,1.40901
1024,8192,1024,8192,2.51898
1024,8192,2048,128,0.509744
1024,8192,2048,1024,0.7755
1024,8192,2048,2048,1.08904
1024,8192,2048,4096,1.67093
1024,8192,2048,8192,2.77691
1024,8192,4096,128,1.08592
1024,8192,4096,1024,1.34935
1024,8192,4096,2048,1.64458
1024,8192,4096,4096,2.21668
1024,8192,4096,8192,3.3329
1024,8192,8192,128,2.2754
1024,8192,8192,1024,2.50751
1024,8192,8192,2048,2.80726
1024,8192,8192,4096,3.35603
1024,8192,8192,8192,4.46634
