N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms)
256,8192,1024,128,0.079263,0.0229008,.1021638
256,8192,1024,1024,0.078865,0.0511869,.1300519
256,8192,1024,2048,0.0786762,0.12517,.2038462
256,8192,1024,4096,0.0787549,0.245308,.3240629
256,8192,1024,8192,0.0788675,0.423604,.5024715
256,8192,2048,128,0.238747,0.0229488,.2616958
256,8192,2048,1024,0.238097,0.0514838,.2895808
256,8192,2048,2048,0.239581,0.125862,.365443
256,8192,2048,4096,0.239028,0.246021,.485049
256,8192,2048,8192,0.239532,0.42386,.663392
256,8192,4096,128,0.52814,0.0228954,.5510354
256,8192,4096,1024,0.528003,0.0511507,.5791537
256,8192,4096,2048,0.527661,0.125719,.653380
256,8192,4096,4096,0.528862,0.245327,.774189
256,8192,4096,8192,0.528496,0.423316,.951812
256,8192,8192,128,1.08888,0.0231226,1.1120026
256,8192,8192,1024,1.09063,0.0514544,1.1420844
256,8192,8192,2048,1.08688,0.125475,1.212355
256,8192,8192,4096,1.09135,0.245778,1.337128
256,8192,8192,8192,1.08817,0.425157,1.513327
512,1024,128,128,0.0130768,0.041409,.0544858
512,1024,128,1024,0.0132362,0.041937,.0551732
512,1024,128,2048,0.0132317,0.0419542,.0551859
512,1024,128,4096,0.0130259,0.0482906,.0613165
512,1024,128,8192,0.0131789,0.101394,.1145729
512,1024,1024,128,0.0806995,0.0413178,.1220173
512,1024,1024,1024,0.080673,0.0424029,.1230759
512,1024,1024,2048,0.0810986,0.0421485,.1232471
512,1024,1024,4096,0.0812998,0.048775,.1300748
512,1024,1024,8192,0.081297,0.101474,.182771
512,1024,2048,128,0.15865,0.0412608,.1999108
512,1024,2048,1024,0.158618,0.0423757,.2009937
512,1024,2048,2048,0.159702,0.0419738,.2016758
512,1024,2048,4096,0.158657,0.048656,.207313
512,1024,2048,8192,0.159676,0.102229,.261905
512,1024,4096,128,0.307961,0.0413344,.3492954
512,1024,4096,1024,0.3089,0.0422733,.3511733
512,1024,4096,2048,0.308932,0.0423152,.3512472
512,1024,4096,4096,0.310648,0.0483258,.3589738
512,1024,4096,8192,0.307985,0.10224,.410225
512,1024,8192,128,0.617258,0.0413568,.6586148
512,1024,8192,1024,0.617471,0.0421808,.6596518
512,1024,8192,2048,0.623442,0.04216,.665602
512,1024,8192,4096,0.619618,0.0483994,.6680174
512,1024,8192,8192,0.616911,0.101558,.718469
512,2048,128,128,0.0131488,0.0413642,.0545130
512,2048,128,1024,0.0133523,0.0420486,.0554009
512,2048,128,2048,0.0131923,0.0482179,.0614102
512,2048,128,4096,0.0133635,0.0934166,.1067801
512,2048,128,8192,0.0132285,0.229806,.2430345
512,2048,1024,128,0.0794893,0.0415341,.1210234
512,2048,1024,1024,0.0793437,0.0423453,.1216890
512,2048,1024,2048,0.0790976,0.048449,.1275466
512,2048,1024,4096,0.0789693,0.0936787,.1726480
512,2048,1024,8192,0.0789904,0.230403,.3093934
512,2048,2048,128,0.154375,0.0414557,.1958307
512,2048,2048,1024,0.154169,0.0422704,.1964394
512,2048,2048,2048,0.154462,0.0485043,.2029663
512,2048,2048,4096,0.154254,0.0936202,.2478742
512,2048,2048,8192,0.153548,0.229883,.383431
512,2048,4096,128,0.300033,0.0411843,.3412173
512,2048,4096,1024,0.300016,0.0423104,.3423264
512,2048,4096,2048,0.300094,0.0483402,.3484342
512,2048,4096,4096,0.299914,0.0940352,.3939492
512,2048,4096,8192,0.299954,0.229711,.529665
512,2048,8192,128,1.09231,0.0414522,1.1337622
512,2048,8192,1024,1.09176,0.0422656,1.1340256
512,2048,8192,2048,1.09272,0.0484826,1.1412026
512,2048,8192,4096,1.09627,0.0941974,1.1904674
512,2048,8192,8192,1.09027,0.229912,1.320182
512,4096,128,128,0.01328,0.042209,.055489
512,4096,128,1024,0.0133248,0.0487837,.0621085
512,4096,128,2048,0.0132624,0.094041,.1073034
512,4096,128,4096,0.0133843,0.232968,.2463523
512,4096,128,8192,0.0131562,0.423294,.4364502
512,4096,1024,128,0.0794048,0.0422406,.1216454
512,4096,1024,1024,0.0789306,0.0482838,.1272144
512,4096,1024,2048,0.0789629,0.0936931,.1726560
512,4096,1024,4096,0.0788365,0.233443,.3122795
512,4096,1024,8192,0.0790182,0.423938,.5029562
512,4096,2048,128,0.151789,0.0425389,.1943279
512,4096,2048,1024,0.152444,0.048633,.201077
512,4096,2048,2048,0.151786,0.0937418,.2455278
512,4096,2048,4096,0.151677,0.23292,.384597
512,4096,2048,8192,0.152523,0.42526,.577783
512,4096,4096,128,0.521714,0.0422512,.5639652
512,4096,4096,1024,0.522121,0.0488016,.5709226
512,4096,4096,2048,0.522148,0.094207,.616355
512,4096,4096,4096,0.522845,0.233375,.756220
512,4096,4096,8192,0.523158,0.423535,.946693
512,4096,8192,128,1.08565,0.0426016,1.1282516
512,4096,8192,1024,1.08428,0.0485987,1.1328787
512,4096,8192,2048,1.0847,0.0941498,1.1788498
512,4096,8192,4096,1.08244,0.234196,1.316636
512,4096,8192,8192,1.08347,0.423913,1.507383
512,8192,128,128,0.0161018,0.0420922,.0581940
512,8192,128,1024,0.0160678,0.0981712,.1142390
512,8192,128,2048,0.0160691,0.238107,.2541761
512,8192,128,4096,0.0159232,0.456354,.4722772
512,8192,128,8192,0.0161222,0.795039,.8111612
512,8192,1024,128,0.0912461,0.042015,.1332611
512,8192,1024,1024,0.0918634,0.0979469,.1898103
512,8192,1024,2048,0.0913789,0.237196,.3285749
512,8192,1024,4096,0.091207,0.458252,.549459
512,8192,1024,8192,0.0913213,0.795261,.8865823
512,8192,2048,128,0.265997,0.0421581,.3081551
512,8192,2048,1024,0.266763,0.0991754,.3659384
512,8192,2048,2048,0.266269,0.236858,.503127
512,8192,2048,4096,0.267244,0.457733,.724977
512,8192,2048,8192,0.266986,0.793812,1.060798
512,8192,4096,128,0.541251,0.0420662,.5833172
512,8192,4096,1024,0.539817,0.098504,.638321
512,8192,4096,2048,0.540126,0.237234,.777360
512,8192,4096,4096,0.539364,0.459732,.999096
512,8192,4096,8192,0.540539,0.800992,1.341531
512,8192,8192,128,1.11213,0.0422662,1.1543962
512,8192,8192,1024,1.11034,0.0985786,1.2089186
512,8192,8192,2048,1.11138,0.237036,1.348416
512,8192,8192,4096,1.11238,0.459906,1.572286
512,8192,8192,8192,1.10831,0.798478,1.906788
1024,1024,128,128,0.0131878,0.0774717,.0906595
1024,1024,128,1024,0.0131235,0.0790224,.0921459
1024,1024,128,2048,0.0131114,0.0790298,.0921412
1024,1024,128,4096,0.0132915,0.0913856,.1046771
1024,1024,128,8192,0.0132662,0.222804,.2360702
1024,1024,1024,128,0.0790323,0.077007,.1560393
1024,1024,1024,1024,0.0793875,0.079209,.1585965
